?G(OOH),?G(OOH-Ni),?G(OOH-Co),?G(OOH-Fe),?G(OOH-Pd),?G(OOH-Pt)
2.14802,1.19655,1.32817,1.27382,1.10244,3.78089
1.65532,1.08839,1.59906,1.75458,1.10658,3.93824
1.62566,0.08139,1.81451,1.14941,1.6769,4.15079
-0.00987,1.02257,0.67614,1.62581,0.94004,4.02711
4.50066,1.19129,1.41651,1.14174,1.04066,4.21496
1.02679,0.35485,2.62634,0.61392,1.09795,4.18993
0.87139,0.01433,1.48699,0.55482,1.22101,4.06366
0.5777,0.89075,1.02035,1.27498,1.07172,
1.76781,-0.17026,0.91315,1.44099,1.95543,
-0.30345,0.35657,1.45891,1.29939,1.12336,
1.33686,0.18449,0.83482,1.01714,1.68194,
3.67357,0.02473,0.86176,1.26538,1.17332,
3.99788,-0.13593,0.67567,1.41146,1.92127,
1.83025,0.09456,2.62989,1.37675,2.10787,
1.63031,1.55799,1.34366,1.40701,1.07476,
0.58006,-0.30514,0.71035,1.26999,1.11909,
0.33438,-0.03481,0.44038,0.61727,1.2812,
1.77334,0.1811,0.42174,0.91173,1.9493,
1.5064,0.86743,1.53029,1.30056,0.9972,
0.86972,0.3397,0.10734,1.44438,0.94109,
0.63478,0.06057,0.09308,1.09039,4.10091,
0.87179,0.02387,0.3299,1.57747,4.20072,
-0.2822,-0.25705,0.4551,1.43453,4.24011,
-0.01822,-0.11931,0.42233,1.29972,4.17216,
0.8447,1.01919,0.10649,1.49456,4.03789,
3.75709,0.84829,1.54966,2.15441,3.77541,
1.54317,1.26073,0.62145,2.15757,4.15542,
3.49918,1.41825,0.93089,1.11434,4.22888,
1.19948,2.19284,0.69681,2.19497,4.09362,
3.71389,1.32817,1.32476,1.99024,4.15499,
-0.39735,1.59906,1.32395,0.23834,4.09274,
0.17112,0.67614,1.76015,0.69714,4.28539,
1.29058,1.41651,0.41132,0.168,4.46225,
0.70758,1.02035,0.44017,0.15002,4.32374,
-0.0555,0.91315,0.09429,-0.2338,4.32234,
0.54285,1.45891,0.61082,0.02338,4.06125,
1.65464,0.83482,1.48283,0.06312,3.59639,
3.99056,0.67567,0.59278,0.16279,3.32462,
4.09362,0.96736,1.14764,0.5327,3.63992,
0.02417,1.52679,1.39497,0.26062,3.68575,
0.34377,0.44038,0.23353,0.06705,3.85222,
4.19342,1.53029,0.5776,0.2801,3.97371,
-0.03822,0.4551,0.70779,0.2399,3.86745,
