?G(O),?G(O-Ru),?G(O-Rh),?G(O-Pd),?G(O-Ir),?G(O-Pt)
0.51777,0.27481,0.52023,0.67528,1.03442,1.2279
0.51454,0.27647,0.7001,1.43813,0.85071,0.97988
0.38701,0.04065,0.4138,0.7537,0.66467,1.30069
0.51173,0.35782,0.43437,0.3623,0.14251,1.40769
1.0294,0.70083,0.27481,1.42816,0.83885,1.40118
1.71089,0.55296,0.27647,1.10271,1.42816,0.94052
0.25254,-0.03659,0.04065,0.43057,1.10271,1.33029
0.09436,0.50698,0.55296,0.99579,0.43057,0.75572
0.98213,0.55032,0.43271,0.39015,0.99579,1.47245
0.66589,0.87111,-0.03659,1.97784,0.35938,0.75972
0.26522,0.41107,0.50698,1.19564,0.65636,1.46276
0.82121,0.62175,0.55032,0.62624,1.19564,0.75995
1.34198,0.75986,0.87111,1.99859,0.82602,0.61726
1.1072,0.95623,0.41107,0.82602,0.43054,1.01682
0.90555,0.29978,0.95623,1.4742,0.92056,1.34459
1.06272,0.29242,1.06757,0.43054,0.43582,0.74992
0.18686,0.42412,1.18021,1.82242,1.11557,0.9473
0.25426,0.57419,1.07154,0.92056,0.3613,1.13362
1.86863,0.61661,0.29978,0.43582,0.43576,0.71374
1.03371,0.7615,0.29242,1.11557,1.02643,0.92691
0.98179,0.07395,1.14138,0.43576,0.27757,0.70758
0.38548,0.29424,0.95932,0.61762,1.14604,0.89076
0.26009,0.26405,1.41129,1.02643,0.52441,1.03501
0.27025,0.45628,0.95742,1.28432,0.21161,2.01954
0.26801,0.76006,1.18483,1.85477,0.48809,1.43813
0.09743,0.43904,0.82867,1.14604,0.44075,1.03442
0.19421,0.2975,1.47658,0.264,0.43352,1.34119
1.03573,0.49632,0.93032,0.80359,1.14199,0.61399
0.82114,0.79333,0.9312,1.14199,0.81532,1.10271
1.37802,0.81834,0.29424,0.81532,0.53126,0.30694
0.1862,0.45706,0.26405,1.86033,1.53343,1.97784
0.5117,-0.10375,0.2975,1.53343,0.36034,0.30234
0.26579,0.54762,0.81834,1.67068,1.44924,1.99859
1.03275,-0.10258,0.93075,1.41791,0.22067,1.85477
0.25298,0.67849,-0.10375,1.44924,0.21309,1.14604
0.58188,1.00397,0.83739,0.91374,1.47756,1.14199
1.18201,0.29933,0.54762,0.39673,0.55978,0.61201
0.49167,0.45237,-0.10258,1.47756,0.94162,1.86033
0.8874,0.55126,0.67849,0.55978,0.56266,0.32583
0.90859,0.91848,0.56374,0.56266,1.45436,1.53343
0.51262,0.29069,0.93749,1.59505,0.5605,1.67068
0.1055,0.50325,0.7634,0.53203,1.66448,1.44924
1.21714,-0.01664,1.00397,0.5605,1.18632,0.31204
1.26458,-0.02749,0.29933,0.529,1.31316,1.45756
0.584,0.37969,0.45237,0.52742,0.94459,1.40781
0.09553,0.13026,0.91848,0.52866,0.95685,1.73212
0.98218,0.40613,0.29069,2.22241,1.14496,1.4765
1.71014,0.65997,-0.01664,1.31316,0.31527,1.59505
0.90484,0.16095,1.07267,1.45973,0.73058,1.45436
1.34058,0.28181,0.83186,0.94459,0.35887,1.41094
1.06155,0.05769,-0.02749,1.14496,0.53072,1.66448
0.66976,0.12548,0.37969,1.72737,0.36016,1.18632
1.55198,-0.05198,0.13026,0.31527,0.35881,2.22241
0.38371,-0.14624,0.36015,0.53072,0.35309,1.45973
0.25706,-0.0519,0.40613,0.46883,1.25021,1.47483
0.26695,0.11956,0.36106,0.84061,0.31507,1.84362
0.60684,-0.0561,1.04355,0.84501,0.35939,1.72737
0.09563,0.27135,0.28181,0.35881,0.28925,0.76734
0.2676,0.42652,0.05769,0.35309,1.11444,1.58371
