?G(OH),?G(OH-Ru),?G(OH-Rh),?G(OH-Pd),?G(OH-Ir),?G(OH-Pt)
-0.18302,0.21213,0.32354,,0.41599,0.98214
0.40173,-0.01993,0.64343,,-0.00989,1.04249
-0.00973,0.02932,0.16116,,0.44991,1.19886
0.42755,0.24367,0.30636,,0.41693,1.01408
0.07374,0.24293,0.04674,,0.48741,1.00868
0.35777,0.26648,0.07789,,0.18181,0.82721
0.43014,0.34439,0.40983,,0.48132,1.08572
0.09998,0.48535,0.34481,,0.17797,0.97347
0.57569,0.26576,0.18184,,0.479,0.88766
0.31417,0.21163,0.11682,,0.6939,0.94146
-0.04918,0.48983,0.13486,,0.26152,0.90275
0.81034,0.24591,0.33681,,0.26661,0.8354
0.82867,0.52576,0.13023,,0.50794,0.83967
0.55171,0.24535,0.34638,,0.31921,0.96232
0.62416,0.43371,0.8689,,0.50222,1.0934
-0.13434,0.16827,0.44186,,0.32067,0.83438
0.0745,0.17075,0.17563,,0.30572,0.81237
0.67966,0.43675,0.43695,,0.2773,0.98167
0.62369,0.27188,0.45317,,0.31045,0.80577
0.96033,0.24233,0.44188,,0.23951,0.97803
0.5116,0.47902,1.00868,,0.27425,0.96575
0.64501,0.36685,0.90845,,0.55601,1.20999
0.72563,0.32107,0.4555,,0.40012,1.08448
0.93286,0.24583,0.4696,,0.48378,1.11277
0.51518,0.303,0.20926,,0.42086,1.10923
0.78292,0.48782,0.30249,,0.24263,1.08893
0.36005,0.20891,0.64406,,0.31622,1.16463
1.04186,0.25633,0.50752,,0.18187,1.1136
0.67115,0.26869,0.59514,,0.18626,1.13127
-0.01317,0.43946,0.40218,,0.42556,0.8977
0.0974,0.24651,0.46436,,0.18609,0.95861
0.29649,0.56723,0.47733,,0.37276,0.89725
0.35869,0.36924,0.18467,,0.1787,1.05954
0.68052,0.26653,0.42007,,0.36936,0.92153
0.30233,0.1718,0.6159,,0.33233,0.90836
0.02238,0.24677,0.4045,,0.18529,
0.66553,0.16992,0.59758,,0.34515,
1.1082,0.28833,0.62379,,0.33046,
0.41647,0.20066,0.37241,,0.12569,
0.08561,0.16116,0.3041,,0.41174,
0.6029,0.12154,0.25604,,0.17176,
0.30651,-0.07225,0.22954,,0.38027,
0.93551,-0.04591,0.33119,,0.44088,
0.28296,0.30636,0.4026,,0.32227,
-0.18268,0.04674,0.41951,,0.3262,
0.5131,0.15724,0.47419,,0.34681,
1.02274,0.07789,-0.10401,,0.35335,
0.48911,0.14612,-0.10754,,0.28309,
0.29881,0.18184,0.45555,,0.51524,
0.16683,0.25392,0.49098,,0.51232,
0.777,0.15239,0.30535,,0.29387,
0.17238,-0.02634,0.36796,,0.25521,
0.16285,0.11682,-0.10918,,0.55564,
0.39012,0.13486,0.14098,,0.32842,
0.42964,0.05987,-0.11587,,0.54641,
0.17719,0.33681,0.54746,,0.75998,
0.32688,0.13023,0.393,,0.55447,
0.28177,0.17563,0.66137,,0.4167,
0.25439,0.46309,0.39204,,0.51848,
0.52228,0.23252,0.28906,,0.3778,
0.43235,0.1979,0.65973,,0.54925,
0.16342,0.01244,0.47545,,0.42194,
0.23135,0.19347,0.2353,,0.33273,
0.78539,0.05673,0.57719,,0.23116,
0.51118,0.53055,0.23848,,0.15944,
0.3648,0.47008,0.2366,,0.45576,
0.24347,0.36584,0.05429,,0.16475,
0.12113,0.20926,0.56732,,0.31728,
0.51663,0.30249,0.17549,,0.42,
0.30918,-0.10107,0.15636,,0.41158,
0.68008,0.23267,0.42365,,0.31508,
0.15405,-0.09247,0.25136,,0.18107,
0.59122,-0.09946,0.40842,,0.41288,
0.12514,0.3041,0.37731,,0.13493,
0.1447,0.25604,0.19909,,0.3557,
0.38981,-0.10401,0.48802,,0.23893,
0.14872,0.33151,0.15876,,0.16764,
0.35847,0.19499,0.3878,,0.31591,
1.11602,-0.10754,0.38388,,0.3685,
0.37304,-0.03305,0.15826,,0.18336,
0.66072,0.18458,0.4046,,0.30609,
0.67,-0.06017,0.70741,,0.26395,
