Platinum  Palladium  Nickel  Cobalt  Iron  Oxygen
   1.000000000000000
 26.8390302326635251 -15.5088069955373857  0.2610371749561117
  0.0000000000000000 31.1794617591341989 -0.0663812827791770
  0.0000000000000000  0.0000000000000000 22.9220064906261953
Pt Pd Ni Co Fe O
   171   126   144   135   144   1
Selective dynamics
Direct
  0.0609466666666666  0.4248333333333332  0.4734599999999991   F   F   F
  0.2843566666666669  0.5362833333333332  0.3746999999999995   F   F   F
  0.0884533333333335  0.5640333333333333  0.2841899999999995   F   F   F
  0.0611166666666667  0.5920566666666666  0.1867799999999996   F   F   F
  0.3088533333333334  0.5929099999999996  0.1879299999999997   F   F   F
  0.0322366666666667  0.6213966666666663  0.0885099999999998   F   F   F
  0.0898200000000001  0.6495699999999995  0.2830399999999993   F   F   F
  0.0583433333333334  0.5109800000000001  0.4750099999999992   F   F   F
  0.1191166666666670  0.6222100000000002  0.0899799999999999   F   F   F
  0.1745000000000001  0.4843633333333333  0.2813499999999999   F   F   F
  0.0039400000000001  0.5642466666666665  0.2823799999999995   F   F   F
  0.1729166666666667  0.5670833333333334  0.2811999999999998   F   F   F
  0.2290500000000001  0.4271566666666668  0.4712199999999990   F   F   F
  0.1446266666666667  0.5100600000000000  0.4784099999999994   F   F   F
  0.3942800000000000  0.4248333333333332  0.4734599999999992   F   F   F
  0.6176900000000003  0.5362833333333332  0.3746999999999997   F   F   F
  0.4217866666666669  0.5640333333333332  0.2841899999999995   F   F   F
  0.3944500000000001  0.5920566666666667  0.1867799999999996   F   F   F
  0.6421866666666667  0.5929099999999996  0.1879299999999997   F   F   F
  0.3655700000000001  0.6213966666666664  0.0885099999999998   F   F   F
  0.4231533333333335  0.6495699999999995  0.2830399999999993   F   F   F
  0.3916766666666668  0.5109800000000001  0.4750099999999992   F   F   F
  0.4524500000000004  0.6222100000000000  0.0899799999999999   F   F   F
  0.5078333333333334  0.4843633333333332  0.2813499999999999   F   F   F
  0.3372733333333335  0.5642466666666666  0.2823799999999995   F   F   F
  0.5062500000000000  0.5670833333333332  0.2811999999999998   F   F   F
  0.5623833333333336  0.4271566666666667  0.4712199999999991   F   F   F
  0.4779600000000002  0.5100600000000000  0.4784099999999996   F   F   F
  0.7276133333333336  0.4248333333333332  0.4734599999999992   F   F   F
  0.9510233333333337  0.5362833333333331  0.3746999999999996   F   F   F
  0.7551200000000005  0.5640333333333332  0.2841899999999995   F   F   F
  0.7277833333333336  0.5920566666666667  0.1867799999999995   F   F   F
  0.9755200000000002  0.5929099999999995  0.1879299999999997   F   F   F
  0.6989033333333334  0.6213966666666664  0.0885099999999998   F   F   F
  0.7564866666666670  0.6495699999999995  0.2830399999999994   F   F   F
  0.7250100000000002  0.5109800000000000  0.4750099999999992   F   F   F
  0.7857833333333339  0.6222100000000002  0.0899799999999999   F   F   F
  0.8411666666666670  0.4843633333333332  0.2813499999999998   F   F   F
  0.6706066666666670  0.5642466666666666  0.2823799999999994   F   F   F
  0.8395833333333336  0.5670833333333332  0.2811999999999998   F   F   F
  0.8957166666666669  0.4271566666666667  0.4712199999999990   F   F   F
  0.8112933333333334  0.5100599999999997  0.4784099999999996   F   F   F
  0.0609466666666666  0.7581666666666665  0.4734599999999990   F   F   F
  0.2843566666666669  0.8696166666666665  0.3746999999999996   F   F   F
  0.0884533333333335  0.8973666666666665  0.2841899999999995   F   F   F
  0.0611166666666667  0.9253899999999998  0.1867799999999996   F   F   F
  0.3088533333333334  0.9262433333333330  0.1879299999999997   F   F   F
  0.0322366666666667  0.9547299999999995  0.0885099999999998   F   F   F
  0.0898200000000001  0.9829033333333327  0.2830399999999993   F   F   F
  0.0583433333333334  0.8443133333333332  0.4750099999999992   F   F   F
  0.1191166666666670  0.9555433333333333  0.0899799999999999   F   F   F
  0.1745000000000001  0.8176966666666665  0.2813499999999999   F   F   F
  0.0039400000000001  0.8975799999999996  0.2823799999999995   F   F   F
  0.1729166666666667  0.9004166666666666  0.2811999999999998   F   F   F
  0.2290500000000001  0.7604900000000000  0.4712199999999991   F   F   F
  0.1446266666666667  0.8433933333333332  0.4784099999999996   F   F   F
  0.3942800000000000  0.7581666666666664  0.4734599999999992   F   F   F
  0.6176900000000003  0.8696166666666665  0.3746999999999996   F   F   F
  0.4217866666666669  0.8973666666666664  0.2841899999999995   F   F   F
  0.3944500000000001  0.9253899999999999  0.1867799999999995   F   F   F
  0.6421866666666667  0.9262433333333329  0.1879299999999997   F   F   F
  0.3655700000000001  0.9547299999999996  0.0885099999999998   F   F   F
  0.4231533333333335  0.9829033333333328  0.2830399999999992   F   F   F
  0.3916766666666668  0.8443133333333332  0.4750099999999992   F   F   F
  0.4524500000000004  0.9555433333333332  0.0899799999999999   F   F   F
  0.5078333333333334  0.8176966666666665  0.2813499999999998   F   F   F
  0.3372733333333335  0.8975799999999998  0.2823799999999994   F   F   F
  0.5062500000000000  0.9004166666666664  0.2811999999999998   F   F   F
  0.5623833333333336  0.7604900000000001  0.4712199999999990   F   F   F
  0.4779600000000002  0.8433933333333332  0.4784099999999994   F   F   F
  0.7276133333333336  0.7581666666666664  0.4734599999999992   F   F   F
  0.9510233333333337  0.8696166666666664  0.3746999999999997   F   F   F
  0.7551200000000005  0.8973666666666666  0.2841899999999995   F   F   F
  0.7277833333333336  0.9253899999999999  0.1867799999999996   F   F   F
  0.9755200000000002  0.9262433333333329  0.1879299999999997   F   F   F
  0.6989033333333334  0.9547299999999996  0.0885099999999998   F   F   F
  0.7564866666666670  0.9829033333333328  0.2830399999999994   F   F   F
  0.7250100000000002  0.8443133333333332  0.4750099999999992   F   F   F
  0.7857833333333339  0.9555433333333333  0.0899799999999999   F   F   F
  0.8411666666666670  0.8176966666666665  0.2813499999999998   F   F   F
  0.6706066666666670  0.8975799999999998  0.2823799999999995   F   F   F
  0.8395833333333336  0.9004166666666664  0.2811999999999998   F   F   F
  0.8957166666666669  0.7604900000000001  0.4712199999999991   F   F   F
  0.8112933333333334  0.8433933333333331  0.4784099999999995   F   F   F
