?G(OH),?G(OH-Ni),?G(OH-Co),?G(OH-Fe),?G(OH-Pd),?G(OH-Pt)
-0.21844,0.26305,-0.02669,-0.35654,-0.14628,
-0.1574,0.39065,0.50794,-0.30455,-0.11469,
-0.14997,0.16123,0.10147,-0.38853,-0.14337,
-0.10716,0.16212,0.04456,-0.35667,0.58528,
0.58764,0.04634,0.0432,-0.15707,0.25306,
-0.38658,0.71299,0.41773,-0.1037,0.39319,
-0.10403,0.55057,0.20052,-0.10326,0.49315,
-0.15345,0.39209,-0.02387,-0.35661,0.40243,
-0.35397,0.39291,0.04411,-0.22064,0.17555,
-0.10398,0.39153,0.26305,-0.38784,0.02357,
-0.30153,-0.25712,0.47099,-0.10355,0.02385,
-0.22045,-0.29319,-0.02713,-0.39085,0.46973,
-0.35352,-0.24614,0.04634,-0.21844,0.0302,
0.48951,-0.28842,0.53649,-0.1574,0.69851,
-0.10596,-0.20365,0.55057,-0.10716,0.37488,
-0.03489,-0.29671,0.39209,-0.38658,0.35654,
0.43794,-0.29095,0.39291,-0.10403,0.35581,
0.38404,0.02881,0.39153,-0.35397,0.58713,
0.41577,-0.29392,-0.25712,-0.30153,0.48813,
0.09703,-0.24533,-0.29319,-0.22045,0.3515,
0.78241,0.02678,-0.24614,-0.35352,0.37525,
0.91318,-0.25693,-0.28842,-0.10596,0.37198,
0.54864,-0.25564,-0.20365,-0.03489,0.24575,
0.86874,-0.29334,-0.29671,0.54864,0.62875,
0.80512,-0.2462,-0.33529,0.22094,0.18624,
0.22094,-0.33855,0.16547,0.22298,0.18495,
0.43575,-0.0895,-0.29095,0.0354,0.15682,
0.35753,-0.25657,0.02881,0.03336,0.18563,
0.09944,-0.24141,-0.29392,0.54789,0.15471,
0.67396,-0.34127,-0.24533,0.09678,0.18516,
0.35743,-0.24663,-0.33364,0.03637,0.18533,
0.44183,0.03091,-0.4139,0.11949,0.15706,
0.48786,-0.30319,0.02678,0.3543,0.91325,
0.98016,-0.19197,-0.28408,0.36032,0.15617,
0.22298,-0.26949,-0.25693,0.12045,0.31303,
0.66199,-0.19587,-0.25564,0.86053,0.07604,
0.0354,-0.30005,-0.29334,0.46894,0.00164,
0.03336,-0.3015,-0.42637,-0.45303,0.26357,
0.54789,-9.72E-04,-0.2462,-0.02072,0.34983,
0.9563,-0.1943,-0.41594,-0.0229,0.12426,
0.56314,-0.19098,-0.33855,-0.45437,0.07933,
0.8981,0.47764,-0.43012,0.075,0.29271,
0.09678,-0.14628,-0.0895,-0.36726,0.08258,
0.03637,-0.26808,-0.25657,-0.11974,0.22083,
0.79212,-0.30083,-0.24141,0.13288,0.21352,
0.495,-0.11469,0.59903,-0.27508,0.62238,
0.5278,-0.14337,-0.34127,-0.26909,0.2156,
0.42724,-0.26952,-0.41239,-0.17776,0.22808,
0.21991,-0.2679,-0.27907,-0.36826,0.19925,
0.70009,-0.01974,-0.3361,-0.02118,0.34766,
0.11949,-0.16657,-0.33495,-0.2602,0.34112,
0.3543,0.71905,-0.24663,-0.05995,0.20372,
0.34869,0.58528,-0.41383,-0.12081,0.21123,
0.36032,-0.33472,0.03091,-0.36683,0.20174,
0.82636,0.53776,-0.19197,-0.16177,0.34926,
0.69286,-0.16636,-0.19587,-0.17787,0.21912,
0.12045,-0.18549,-0.57329,-0.45372,0.20074,
0.27211,0.39319,-0.1943,-0.25798,0.4356,
0.45742,0.49315,-0.19098,-0.2917,0.35253,
0.86053,-0.2293,-7.58E-06,-0.16153,,
0.46894,0.32588,-0.14628,0.07368,,
0.73686,-0.19584,-0.57849,0.07559,,
0.57001,0.40243,-0.5758,-0.11874,,
0.49039,0.17555,-0.14337,0.09669,,
-0.20426,-0.0183,-0.16657,0.26497,,
-0.45303,-0.3304,-0.39855,0.26335,,
-0.02072,-0.12682,-0.16222,-0.03084,,
-0.16206,-0.19651,-0.16636,0.09284,,
-0.0229,-0.18377,-0.18549,0.21112,,
-0.21886,-0.19628,-0.2293,-0.03328,,
-0.45437,-0.01821,0.32588,-0.1021,,
0.20637,-0.33442,0.17555,-0.10211,,
0.075,0.93077,-0.16272,-0.0337,,
-0.36726,-0.32514,-0.12682,-0.10317,,
-0.20153,-0.04977,-0.18377,0.21331,,
-0.11974,-0.01739,-0.39746,-0.0328,,
0.13288,-0.01725,-0.16506,0.07347,,
-0.2347,-0.29813,-0.23313,-0.03109,,
0.51927,-0.32596,0.02357,0.0658,,
-0.27508,-0.32632,-0.04977,-0.01208,,
-0.14213,-0.06448,-0.15359,0.0675,,
0.39311,-0.07327,-0.01739,0.12352,,
-0.26909,-0.32563,-0.15528,0.12561,,
-0.17776,-0.01595,-0.15242,-0.15195,,
-0.36826,-0.20213,0.02385,0.06519,,
-0.21374,0.03375,-0.01725,0.15082,,
-0.14316,-0.07316,-0.29813,0.15567,,
-0.02118,-0.01514,0.46973,-0.15342,,
-0.2602,-0.38317,-0.06448,-0.03222,,
-0.05995,-0.38192,-0.2333,-0.15211,,
-0.12081,-0.30321,-0.07327,0.12242,,
-0.36683,-0.3021,-0.01595,-0.01504,,
0.2137,-0.325,-0.20213,-0.01551,,
0.7395,0.69851,0.03375,-0.18852,,
-0.16177,0.37488,-0.07316,-0.15237,,
-0.17787,0.08242,-0.01514,-0.20258,,
-0.20425,0.08065,-0.38317,0.36641,,
0.19689,0.37876,-0.19817,0.03359,,
-0.45372,0.58713,-0.38192,-0.223,,
-0.21664,0.15869,0.0302,0.28531,,
-0.00429,0.41984,-0.30321,-0.23114,,
0.08623,0.0808,-0.19168,-0.22715,,
0.13167,1.08867,-0.3021,0.13371,,
-0.25798,0.37525,-0.23255,-0.31336,,
-0.2917,0.37437,0.37488,-0.22854,,
-0.16153,0.37198,0.35654,-0.20049,,
0.07368,0.08367,0.06252,0.03819,,
0.07559,0.24575,0.06433,0.13376,,
-0.23845,0.18624,0.08242,0.11571,,
-0.11874,0.18495,0.35581,0.17171,,
0.20754,0.15682,0.08065,0.13622,,
-0.07419,-0.05403,0.37876,-0.31688,,
0.09669,-0.05426,0.58713,-0.15987,,
0.57079,0.18563,0.15869,0.13417,,
0.49243,0.15471,0.48813,-0.2842,,
0.34022,0.18516,0.41984,-0.13625,,
0.26497,0.18533,0.3515,-0.4576,,
0.84426,-0.05467,0.0808,-0.11636,,
0.25223,-0.05696,0.37525,-0.07505,,
0.23394,0.15706,0.37437,-0.12252,,
0.94023,-0.05605,0.37198,-0.13237,,
0.26335,0.15617,0.0656,-0.28751,,
-0.01649,0.31303,0.08367,0.02631,,
-0.03084,-0.16897,0.62875,-0.13443,,
0.1575,0.0594,0.18624,0.06688,,
0.72075,0.26357,-0.35894,-0.4566,,
0.45325,0.05707,0.18495,-0.13808,,
0.48088,0.12426,-0.20279,-0.13118,,
0.09284,0.0628,-0.1097,-0.12811,,
