?G(OOH),?G(OOH-Ru),?G(OOH-Rh),?G(OOH-Pd),?G(OOH-Ir),?G(OOH-Pt)
1.35276,,,,,
3.38188,,,,,
1.39105,,,,,
3.53527,,,,,
1.30908,,,,,
3.76998,,,,,
4.12633,,,,,
4.18804,,,,,
0.42196,,,,,
2.64649,,,,,
3.29642,,,,,
0.89016,,,,,
1.2557,,,,,
1.67427,,,,,
1.66916,,,,,
4.14424,,,,,
4.10019,,,,,
3.57179,,,,,
3.97397,,,,,
3.52057,,,,,
1.01086,,,,,
3.5248,,,,,
1.45319,,,,,
3.66907,,,,,
3.71112,,,,,
1.22685,,,,,
1.08165,,,,,
0.82017,,,,,
3.36273,,,,,
3.725,,,,,
2.10606,,,,,
1.46552,,,,,
4.23862,,,,,
4.34388,,,,,
1.56547,,,,,
3.60261,,,,,
3.83976,,,,,
4.32794,,,,,
3.86171,,,,,
3.87832,,,,,
3.77525,,,,,
3.76183,,,,,
1.95788,,,,,
1.35809,,,,,
3.95366,,,,,
3.57838,,,,,
3.57781,,,,,
3.66541,,,,,
1.54742,,,,,
1.08105,,,,,
1.01343,,,,,
1.13303,,,,,
1.62785,,,,,
1.06694,,,,,
1.91137,,,,,
3.68747,,,,,
1.56399,,,,,
0.73186,,,,,
3.7841,,,,,
0.67627,,,,,
1.96655,,,,,
4.20115,,,,,
3.71585,,,,,
3.95426,,,,,
3.61038,,,,,
4.06402,,,,,
3.58702,,,,,
3.29347,,,,,
3.62114,,,,,
0.79439,,,,,
3.98349,,,,,
1.10689,,,,,
4.0835,,,,,
3.49725,,,,,
1.07452,,,,,
3.59478,,,,,
